iter	Passed	Remaining
0	58	58838
1	59	29600
2	59	19821
3	59	14931
4	60	12003
5	60	10050
6	61	8653
7	61	7607
8	61	6793
9	62	6141
10	62	5607
11	62	5161
12	63	4786
13	63	4462
14	63	4179
15	63	3932
16	64	3713
17	64	3519
18	64	3347
19	65	3191
20	65	3050
21	65	2922
22	66	2805
23	66	2697
24	67	2630
25	67	2538
26	68	2458
27	68	2383
28	68	2310
29	69	2242
30	69	2176
31	69	2115
32	70	2059
33	70	2005
34	70	1954
35	71	1905
36	71	1859
37	71	1815
38	71	1773
39	72	1734
40	72	1696
41	72	1661
42	73	1627
43	73	1594
44	73	1564
45	73	1534
46	74	1505
47	74	1478
48	74	1452
49	75	1427
50	75	1403
51	75	1380
52	75	1357
53	76	1338
54	76	1318
55	77	1299
56	77	1280
57	77	1261
58	77	1243
59	78	1225
60	78	1208
61	78	1191
62	79	1176
63	79	1161
64	79	1146
65	79	1131
66	80	1117
67	80	1101
68	80	1087
69	80	1073
70	81	1061
71	81	1049
72	81	1036
73	81	1025
74	82	1013
75	82	1002
76	82	991
77	83	981
78	83	971
79	83	962
80	83	952
81	84	943
82	84	934
83	84	925
84	84	914
85	85	905
86	85	895
87	85	887
88	85	879
89	86	871
90	86	864
91	86	856
92	87	849
93	87	843
94	87	837
95	88	832
96	88	826
97	89	819
98	89	814
99	89	808
100	90	802
101	90	794
102	90	788
103	90	782
104	91	776
105	91	770
106	91	764
107	91	759
108	92	753
109	92	749
110	92	743
111	93	738
112	93	733
113	93	727
114	93	722
115	94	716
116	94	711
117	94	706
118	94	701
119	94	696
120	95	691
121	95	688
122	95	682
123	96	678
124	96	675
125	96	670
126	96	666
127	97	661
128	97	656
129	97	652
130	97	648
131	97	644
132	98	640
133	98	636
134	98	632
135	98	628
136	99	624
137	99	620
138	99	617
139	100	614
140	100	611
141	100	608
142	100	604
143	101	601
144	101	598
145	101	595
146	102	593
147	103	593
148	103	590
149	103	588
150	104	585
151	104	582
152	104	579
153	104	576
154	105	573
155	105	570
156	105	567
157	105	564
158	106	561
159	106	559
160	106	556
161	106	553
162	107	550
163	107	547
164	107	544
165	107	542
166	108	539
167	108	536
168	108	534
169	108	531
170	109	528
171	109	526
172	109	523
173	109	521
174	110	518
175	110	516
176	110	513
177	110	511
178	110	508
179	111	506
180	111	503
181	111	501
182	111	498
183	111	496
184	112	494
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	113	478
192	114	476
193	114	474
194	114	472
195	114	470
196	114	468
197	115	466
198	115	464
199	115	462
200	115	461
201	116	459
202	116	457
203	116	455
204	116	453
205	117	451
206	117	449
207	117	447
208	117	446
209	118	444
210	118	442
211	118	440
212	118	439
213	119	437
214	119	435
215	119	433
216	119	432
217	120	430
218	120	428
219	120	427
220	120	425
221	120	423
222	121	422
223	121	420
224	121	419
225	121	417
226	122	415
227	122	414
228	122	412
229	122	411
230	123	409
231	123	408
232	123	406
233	123	405
234	123	403
235	124	401
236	124	400
237	124	399
238	124	397
239	125	396
240	125	394
241	125	393
242	125	391
243	126	390
244	126	389
245	126	387
246	126	386
247	126	384
248	127	383
249	127	382
250	127	380
251	127	379
252	128	378
253	128	376
254	128	375
255	128	374
256	128	372
257	129	371
258	129	370
259	129	369
260	129	367
261	130	366
262	130	365
263	130	364
264	131	363
265	131	362
266	131	361
267	131	360
268	132	358
269	132	357
270	132	356
271	132	355
272	133	354
273	133	353
274	133	352
275	134	351
276	134	350
277	134	349
278	134	348
279	135	347
280	135	346
281	135	345
282	135	344
283	136	343
284	136	342
285	136	341
286	137	340
287	137	339
288	137	338
289	137	337
290	138	336
291	138	335
292	138	334
293	138	333
294	139	332
295	139	331
296	139	330
297	139	329
298	140	328
299	140	327
300	140	326
301	140	325
302	141	324
303	141	323
304	141	322
305	141	321
306	142	320
307	142	319
308	142	318
309	142	317
310	143	317
311	143	316
312	143	315
313	143	314
314	144	313
315	144	312
316	144	311
317	144	310
318	145	309
319	145	308
320	145	307
321	145	306
322	145	305
323	146	305
324	146	305
325	147	304
326	147	303
327	147	302
328	147	301
329	148	300
330	148	299
331	148	298
332	148	298
333	149	297
334	149	296
335	149	295
336	149	294
337	149	293
338	150	292
339	150	292
340	150	291
341	150	290
342	151	289
343	151	288
344	151	288
345	151	287
346	152	286
347	152	285
348	152	284
349	152	283
350	153	283
351	153	282
352	153	281
353	153	280
354	154	279
355	154	279
356	154	278
357	154	277
358	154	276
359	155	275
360	155	274
361	155	274
362	155	273
363	156	272
364	156	271
365	156	270
366	156	270
367	156	269
368	157	268
369	157	268
370	157	267
371	158	267
372	158	266
373	158	265
374	158	264
375	159	264
376	159	263
377	159	262
378	159	261
379	160	261
380	160	260
381	160	259
382	160	259
383	161	258
384	161	257
385	161	257
386	162	256
387	162	256
388	162	255
389	162	254
390	162	253
391	163	253
392	163	252
393	163	251
394	163	251
395	164	250
396	164	249
397	164	248
398	164	248
399	165	247
400	165	246
401	165	246
402	165	245
403	165	244
404	166	244
405	166	243
406	166	242
407	166	242
408	167	241
409	167	240
410	167	240
411	167	239
412	168	238
413	168	238
414	168	237
415	168	236
416	169	236
417	169	235
418	169	234
419	169	234
420	169	233
421	170	233
422	170	232
423	170	231
424	170	231
425	171	230
426	171	229
427	171	229
428	171	228
429	172	228
430	172	227
431	172	226
432	172	226
433	172	225
434	173	225
435	173	224
436	173	223
437	173	223
438	174	222
439	174	221
440	174	221
441	174	220
442	175	220
443	175	219
444	175	218
445	175	218
446	176	217
447	176	217
448	176	216
449	176	215
450	176	215
451	177	214
452	177	214
453	177	213
454	178	213
455	178	212
456	178	212
457	178	211
458	179	211
459	179	210
460	179	209
461	179	209
462	179	208
463	180	208
464	180	207
465	180	206
466	180	206
467	181	205
468	181	205
469	181	204
470	181	204
471	182	203
472	182	203
473	182	202
474	182	201
475	182	201
476	183	200
477	183	200
478	183	199
479	183	199
480	184	198
481	184	198
482	184	197
483	184	197
484	185	196
485	185	195
486	185	195
487	185	195
488	186	194
489	186	194
490	186	193
491	186	193
492	187	192
493	187	192
494	187	191
495	187	190
496	188	190
497	188	190
498	188	189
499	189	189
500	189	188
501	189	188
502	189	187
503	189	186
504	190	186
505	190	185
506	190	185
507	190	184
508	191	184
509	191	183
510	191	183
511	191	182
512	192	182
513	192	181
514	192	181
515	192	181
516	193	180
517	193	180
518	193	179
519	193	179
520	194	178
521	194	178
522	194	177
523	194	177
524	195	176
525	195	176
526	195	175
