iter	Passed	Remaining
0	0	429
1	0	372
2	1	337
3	1	323
4	1	319
5	1	306
6	2	298
7	2	291
8	2	286
9	2	285
10	3	282
11	3	282
12	3	279
13	3	277
14	4	276
15	4	273
16	4	271
17	4	270
18	5	272
19	5	275
20	5	272
21	6	290
22	6	293
23	7	290
24	7	289
25	7	287
26	7	285
27	8	283
28	8	280
29	8	279
30	8	278
31	9	276
32	9	274
33	9	272
34	9	270
35	10	269
36	10	267
37	10	267
38	10	265
39	11	265
40	11	263
41	11	262
42	11	262
43	12	261
44	12	260
45	12	259
46	12	259
47	13	258
48	13	258
49	13	257
50	13	256
51	14	255
52	14	254
53	14	254
54	14	253
55	14	252
56	15	251
57	15	251
58	15	250
59	15	249
60	16	248
61	16	248
62	16	247
63	16	246
64	17	246
65	17	245
66	17	244
67	17	244
68	18	243
69	18	242
70	18	242
71	18	241
72	18	240
73	19	240
74	19	239
75	19	239
76	19	238
77	20	240
78	20	239
79	20	239
80	21	239
81	21	238
82	21	236
83	21	235
84	22	238
85	22	240
86	23	241
87	23	241
88	23	240
89	23	240
90	23	239
91	24	238
92	24	238
93	24	237
94	24	236
95	25	236
96	25	235
97	25	236
98	26	237
99	26	237
100	26	236
101	26	236
102	27	235
103	27	235
104	27	235
105	27	235
106	28	236
107	28	235
108	28	235
109	29	234
110	29	234
111	29	234
112	29	233
113	29	232
114	30	232
115	30	231
116	30	230
117	30	230
118	31	229
119	31	229
120	31	229
121	31	227
122	31	227
123	32	227
124	32	226
125	32	226
126	32	225
127	32	224
128	33	224
129	33	224
130	33	223
131	33	223
132	34	222
133	34	222
134	34	222
135	34	221
136	35	221
137	35	223
138	36	223
139	36	223
140	36	222
141	36	221
142	37	222
143	38	229
144	38	229
145	39	231
146	39	230
147	45	263
148	46	263
149	46	262
150	46	262
151	46	261
152	47	260
153	47	259
154	47	259
155	47	258
156	48	257
157	49	262
158	49	262
159	49	261
160	49	260
161	50	259
162	50	259
163	50	258
164	50	257
165	51	257
166	51	256
167	56	280
168	60	297
169	60	296
170	61	295
171	64	309
172	64	309
173	65	308
174	65	307
175	65	307
176	65	306
177	66	305
178	66	305
179	66	304
180	67	304
181	67	303
182	69	310
183	70	310
184	71	313
185	71	313
186	71	312
187	72	312
188	72	311
189	72	310
190	73	309
191	73	308
192	73	308
193	73	307
194	74	306
195	74	305
196	74	304
197	74	303
198	75	302
199	75	302
200	75	301
201	76	300
202	76	299
203	76	298
204	76	297
205	77	297
